GROUP_ID,GROUP_NAME,TEAM_ID,OFF_RATING,DEF_RATING,NET_RATING
-203991-1627749-1629027-1630180-1630552-,C. Capela - D. Murray - T. Young - S. Bey - J. Johnson,1610612737,108.4,120.7,-12.4
-203991-1627749-1629027-1629631-1630180-,C. Capela - D. Murray - T. Young - D. Hunter - S. Bey,1610612737,118.4,115.5,2.9
-203991-1627749-1629027-1629631-1630552-,C. Capela - D. Murray - T. Young - D. Hunter - J. Johnson,1610612737,113.0,119.0,-6.1
-203991-203992-1627749-1629631-1630249-,C. Capela - B. Bogdanovic - D. Murray - D. Hunter - V. Krejci,1610612737,117.7,107.2,10.5
-203991-203992-1627749-1630180-1630552-,C. Capela - B. Bogdanovic - D. Murray - S. Bey - J. Johnson,1610612737,107.0,113.7,-6.7
-203992-1629027-1630168-1630180-1630552-,B. Bogdanovic - T. Young - O. Okongwu - S. Bey - J. Johnson,1610612737,123.0,109.3,13.7
-203991-203992-1627749-1629631-1630552-,C. Capela - B. Bogdanovic - D. Murray - D. Hunter - J. Johnson,1610612737,104.3,107.0,-2.6
-1627749-1629027-1630168-1630180-1630552-,D. Murray - T. Young - O. Okongwu - S. Bey - J. Johnson,1610612737,119.9,119.4,0.5
-203992-1629027-1629726-1630168-1630552-,B. Bogdanovic - T. Young - G. Mathews - O. Okongwu - J. Johnson,1610612737,108.6,103.2,5.4
-203992-1627749-1629631-1630168-1630180-,B. Bogdanovic - D. Murray - D. Hunter - O. Okongwu - S. Bey,1610612737,132.8,123.0,9.8
-203991-203992-1627749-1629631-1630180-,C. Capela - B. Bogdanovic - D. Murray - D. Hunter - S. Bey,1610612737,118.2,111.4,6.8
-203991-203992-1627749-1629027-1630180-,C. Capela - B. Bogdanovic - D. Murray - T. Young - S. Bey,1610612737,120.0,113.0,7.0
-202083-203992-1629027-1630168-1630180-,W. Matthews - B. Bogdanovic - T. Young - O. Okongwu - S. Bey,1610612737,121.2,113.3,7.9
-1627749-1628981-1629631-1629726-1630249-,D. Murray - B. Fernando - D. Hunter - G. Mathews - V. Krejci,1610612737,120.6,121.5,-0.9
-203992-1629027-1629726-1630168-1630180-,B. Bogdanovic - T. Young - G. Mathews - O. Okongwu - S. Bey,1610612737,131.5,106.9,24.7
-203992-1627749-1630168-1630180-1630552-,B. Bogdanovic - D. Murray - O. Okongwu - S. Bey - J. Johnson,1610612737,128.0,93.3,34.6
-1627749-1629027-1629631-1630168-1630180-,D. Murray - T. Young - D. Hunter - O. Okongwu - S. Bey,1610612737,95.7,140.4,-44.7
-1627749-1628981-1629631-1629726-1630180-,D. Murray - B. Fernando - D. Hunter - G. Mathews - S. Bey,1610612737,91.4,114.1,-22.8
-203992-1627749-1629631-1630180-1630552-,B. Bogdanovic - D. Murray - D. Hunter - S. Bey - J. Johnson,1610612737,127.4,111.0,16.4
-203991-1627749-1629027-1629726-1630180-,C. Capela - D. Murray - T. Young - G. Mathews - S. Bey,1610612737,115.1,130.1,-15.1
-203992-1627749-1630168-1630180-1630235-,B. Bogdanovic - D. Murray - O. Okongwu - S. Bey - T. Forrest,1610612737,115.1,129.4,-14.3
-203991-1627749-1629631-1629726-1630249-,C. Capela - D. Murray - D. Hunter - G. Mathews - V. Krejci,1610612737,130.9,120.0,10.9
-203992-1628981-1629631-1630552-1641723-,B. Bogdanovic - B. Fernando - D. Hunter - J. Johnson - K. Bufkin,1610612737,95.5,104.8,-9.2
-203991-203992-1627749-1630168-1630180-,C. Capela - B. Bogdanovic - D. Murray - O. Okongwu - S. Bey,1610612737,128.1,93.8,34.4
-203991-203992-1629027-1630180-1630552-,C. Capela - B. Bogdanovic - T. Young - S. Bey - J. Johnson,1610612737,124.6,98.3,26.3
-203991-203992-1627749-1630180-1630249-,C. Capela - B. Bogdanovic - D. Murray - S. Bey - V. Krejci,1610612737,112.7,116.7,-3.9
-203992-1627749-1629027-1630168-1630552-,B. Bogdanovic - D. Murray - T. Young - O. Okongwu - J. Johnson,1610612737,117.6,104.3,13.3
-203992-1628981-1629631-1630235-1630552-,B. Bogdanovic - B. Fernando - D. Hunter - T. Forrest - J. Johnson,1610612737,124.5,83.0,41.5
-203991-203992-1627749-1630249-1630552-,C. Capela - B. Bogdanovic - D. Murray - V. Krejci - J. Johnson,1610612737,122.0,126.9,-4.9
-203991-203992-1627749-1629027-1629631-,C. Capela - B. Bogdanovic - D. Murray - T. Young - D. Hunter,1610612737,117.2,96.7,20.5
-1627749-1629027-1629631-1630180-1630552-,D. Murray - T. Young - D. Hunter - S. Bey - J. Johnson,1610612737,137.3,152.9,-15.7
-203992-1627749-1629027-1630168-1630180-,B. Bogdanovic - D. Murray - T. Young - O. Okongwu - S. Bey,1610612737,117.5,131.5,-13.9
-1628981-1629027-1629631-1629726-1630552-,B. Fernando - T. Young - D. Hunter - G. Mathews - J. Johnson,1610612737,126.0,134.0,-8.0
-203992-1629027-1629631-1630168-1630552-,B. Bogdanovic - T. Young - D. Hunter - O. Okongwu - J. Johnson,1610612737,106.0,116.7,-10.7
-203991-203992-1627749-1630180-1630235-,C. Capela - B. Bogdanovic - D. Murray - S. Bey - T. Forrest,1610612737,110.9,120.4,-9.5
-203992-1629027-1629631-1630168-1630180-,B. Bogdanovic - T. Young - D. Hunter - O. Okongwu - S. Bey,1610612737,123.9,110.2,13.7
-203991-1627749-1629027-1630168-1630180-,C. Capela - D. Murray - T. Young - O. Okongwu - S. Bey,1610612737,115.2,93.3,21.9
-201988-203992-1629027-1630168-1630552-,P. Mills - B. Bogdanovic - T. Young - O. Okongwu - J. Johnson,1610612737,87.8,138.3,-50.5
-202083-203991-203992-1627749-1629631-,W. Matthews - C. Capela - B. Bogdanovic - D. Murray - D. Hunter,1610612737,120.9,121.4,-0.5
-203992-1628981-1629027-1629726-1630552-,B. Bogdanovic - B. Fernando - T. Young - G. Mathews - J. Johnson,1610612737,113.6,107.0,6.7
-203991-1627749-1629631-1630249-1630552-,C. Capela - D. Murray - D. Hunter - V. Krejci - J. Johnson,1610612737,130.2,95.1,35.1
-203991-203992-1627749-1629027-1630552-,C. Capela - B. Bogdanovic - D. Murray - T. Young - J. Johnson,1610612737,90.0,106.4,-16.4
-203991-203992-1629027-1630168-1630180-,C. Capela - B. Bogdanovic - T. Young - O. Okongwu - S. Bey,1610612737,79.1,95.2,-16.2
-203992-1628981-1629726-1630552-1641723-,B. Bogdanovic - B. Fernando - G. Mathews - J. Johnson - K. Bufkin,1610612737,90.5,116.7,-26.2
-202083-203992-1627749-1630168-1630180-,W. Matthews - B. Bogdanovic - D. Murray - O. Okongwu - S. Bey,1610612737,102.6,106.8,-4.2
-203992-1627749-1629726-1630168-1630180-,B. Bogdanovic - D. Murray - G. Mathews - O. Okongwu - S. Bey,1610612737,120.5,117.5,3.0
-203991-203992-1627749-1629631-1629726-,C. Capela - B. Bogdanovic - D. Murray - D. Hunter - G. Mathews,1610612737,134.1,128.2,5.9
-202083-203992-1629027-1630168-1630552-,W. Matthews - B. Bogdanovic - T. Young - O. Okongwu - J. Johnson,1610612737,113.9,82.5,31.4
