,GROUP_SET_on,TEAM_ID_on,TEAM_ABBREVIATION_on,TEAM_NAME_on,VS_PLAYER_ID,VS_PLAYER_NAME_on,COURT_STATUS_on,GP_on,MIN_on,PLUS_MINUS_on,OFF_RATING_on,DEF_RATING_on,NET_RATING_on,GROUP_SET_off,TEAM_ID_off,TEAM_ABBREVIATION_off,TEAM_NAME_off,VS_PLAYER_NAME_off,COURT_STATUS_off,GP_off,MIN_off,PLUS_MINUS_off,OFF_RATING_off,DEF_RATING_off,NET_RATING_off,NET_RATING_DIFF,OFF_RATING_DIFF,DEF_RATING_DIFF
0,On/Off Court,1610612737,ATL,Atlanta Hawks,1630180,"Bey, Saddiq",On,63,2062.0,-0.4,118.6,119.1,-0.5,On/Off Court,1610612737,ATL,Atlanta Hawks,"Bey, Saddiq",Off,82,1909.0,-4.0,111.3,115.1,-3.8,3.3,,
1,On/Off Court,1610612737,ATL,Atlanta Hawks,203992,"Bogdanović, Bogdan",On,79,2401.0,2.5,116.3,114.4,1.9,On/Off Court,1610612737,ATL,Atlanta Hawks,"Bogdanović, Bogdan",Off,82,1570.0,-9.4,112.4,120.3,-8.0,9.9,,
2,On/Off Court,1610612737,ATL,Atlanta Hawks,1641723,"Bufkin, Kobe",On,17,196.0,-8.6,97.1,105.0,-7.9,On/Off Court,1610612737,ATL,Atlanta Hawks,"Bufkin, Kobe",Off,82,3775.0,-1.8,117.2,118.9,-1.7,-6.2,,
3,On/Off Court,1610612737,ATL,Atlanta Hawks,203991,"Capela, Clint",On,73,1883.0,-0.4,115.5,115.6,-0.1,On/Off Court,1610612737,ATL,Atlanta Hawks,"Capela, Clint",Off,82,2088.0,-3.7,115.3,118.4,-3.1,3.0,,
4,On/Off Court,1610612737,ATL,Atlanta Hawks,1628981,"Fernando, Bruno",On,45,682.0,-6.8,107.5,113.9,-6.4,On/Off Court,1610612737,ATL,Atlanta Hawks,"Fernando, Bruno",Off,82,3289.0,-1.2,117.4,118.7,-1.2,-5.2,,
5,On/Off Court,1610612737,ATL,Atlanta Hawks,1630235,"Forrest, Trent",On,38,414.0,-10.9,103.3,114.3,-11.0,On/Off Court,1610612737,ATL,Atlanta Hawks,"Forrest, Trent",Off,82,3557.0,-1.1,117.1,118.3,-1.1,-9.9,,
6,On/Off Court,1610612737,ATL,Atlanta Hawks,1631100,"Griffin, AJ",On,20,171.0,-14.3,106.0,120.1,-14.0,On/Off Court,1610612737,ATL,Atlanta Hawks,"Griffin, AJ",Off,82,3800.0,-1.6,116.6,118.1,-1.4,-12.6,,
7,On/Off Court,1610612737,ATL,Atlanta Hawks,1631243,"Gueye, Mouhamed",On,6,73.0,-27.0,89.9,115.1,-25.2,On/Off Court,1610612737,ATL,Atlanta Hawks,"Gueye, Mouhamed",Off,82,3898.0,-1.7,116.8,118.4,-1.6,-23.599999999999998,,
8,On/Off Court,1610612737,ATL,Atlanta Hawks,1629631,"Hunter, De'Andre",On,57,1681.0,-1.4,116.7,117.9,-1.3,On/Off Court,1610612737,ATL,Atlanta Hawks,"Hunter, De'Andre",Off,82,2290.0,-2.7,114.4,117.0,-2.5,1.2,,
9,On/Off Court,1610612737,ATL,Atlanta Hawks,1630552,"Johnson, Jalen",On,56,1889.0,-1.9,113.3,115.2,-1.9,On/Off Court,1610612737,ATL,Atlanta Hawks,"Johnson, Jalen",Off,82,2082.0,-2.4,116.4,118.9,-2.6,0.7000000000000002,,
